policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash,transport_progress,transport_progress_rate,premature_open,action_saturation_rate,ik_projection_rate,zero_pose_projection_rate,mean_ik_projection_scale,post_placement_reclose
flat_seed_0,flat,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db,0.0,0.0,False,0.21666666666666667,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:2:3454049552,3454049552,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,58ab578bdc705fa2b81ca00b59bc767ca17ec3141f3f1420a4dc31c59a1d6bfa,0.0,0.0,False,0.34444444444444444,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:2:251240799,251240799,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,29e4d90eaef2d5cffcc8f7afa2c0314991ba66ef3037de423b6559032b0b60f4,0.0,0.0,False,0.22777777777777777,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:2:3009000111,3009000111,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,35dd5fa3b24ec8a09dc9f4968edb15fe9fe6848c6d9424ea30c32614223c1ebc,0.0,0.0,False,0.2388888888888889,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:2:2057736129,2057736129,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,26f4ceb70bbe954c0ea3b09b34a2746eb6ddc4bb9681450fb31693fce19fcec4,0.0,0.0,False,0.35555555555555557,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac,0.0,0.0,False,0.2111111111111111,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:3:3856995046,3856995046,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,393b25c7efaed6f31f6766b6ca79bd770c43fecd1b8e3248c6b5009cd5bbbcb1,0.0,0.0,False,0.35,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:3:3034168427,3034168427,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,f8823cfdfe4f331b13e1ccdde2c1eef6c192be93bc9a69c6eb74882dee62a2f1,0.0,0.0,False,0.23333333333333334,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:3:2200424813,2200424813,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,8940cfbf92bf73927a0e6f65c2af7d99873fb2e19183c46ac9e3f7fede64201c,0.0,0.0,False,0.21666666666666667,0.0,0.0,1.0,False
flat_seed_0,flat,0,none,id_normal:3:2711154976,2711154976,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,6b2f4009b302135dd33fad7697a33f2f4057c979f560bcb0adc5e767f9430562,0.0,0.0,False,0.2722222222222222,0.0,0.0,1.0,False
graph_seed_0,graph,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db,0.0,0.0,False,0.4,0.05,0.0,0.975,False
graph_seed_0,graph,0,none,id_normal:2:3454049552,3454049552,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,58ab578bdc705fa2b81ca00b59bc767ca17ec3141f3f1420a4dc31c59a1d6bfa,0.0,0.0,False,0.45555555555555555,0.0,0.0,1.0,False
graph_seed_0,graph,0,none,id_normal:2:251240799,251240799,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,29e4d90eaef2d5cffcc8f7afa2c0314991ba66ef3037de423b6559032b0b60f4,0.0,0.0,False,0.4111111111111111,0.18888888888888888,0.0,0.9027777777777778,False
graph_seed_0,graph,0,none,id_normal:2:3009000111,3009000111,2,id_normal,normal,False,True,True,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,35dd5fa3b24ec8a09dc9f4968edb15fe9fe6848c6d9424ea30c32614223c1ebc,0.0,0.0,False,0.25555555555555554,0.0,0.0,1.0,False
graph_seed_0,graph,0,none,id_normal:2:2057736129,2057736129,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,26f4ceb70bbe954c0ea3b09b34a2746eb6ddc4bb9681450fb31693fce19fcec4,0.0,0.0,False,0.24444444444444444,0.0,0.0,1.0,False
graph_seed_0,graph,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,True,True,True,False,False,True,False,False,130,success,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac,0.28943691309541464,0.958659726843079,False,0.36923076923076925,0.007692307692307693,0.0,0.9961538461538462,False
graph_seed_0,graph,0,none,id_normal:3:3856995046,3856995046,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,393b25c7efaed6f31f6766b6ca79bd770c43fecd1b8e3248c6b5009cd5bbbcb1,0.0,0.0,False,0.3277777777777778,0.0,0.0,1.0,False
graph_seed_0,graph,0,none,id_normal:3:3034168427,3034168427,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,f8823cfdfe4f331b13e1ccdde2c1eef6c192be93bc9a69c6eb74882dee62a2f1,0.0,0.0,False,0.42777777777777776,0.005555555555555556,0.0,0.9972222222222222,False
graph_seed_0,graph,0,none,id_normal:3:2200424813,2200424813,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,8940cfbf92bf73927a0e6f65c2af7d99873fb2e19183c46ac9e3f7fede64201c,0.0,0.0,False,0.45555555555555555,0.15555555555555556,0.0,0.9180555555555555,False
graph_seed_0,graph,0,none,id_normal:3:2711154976,2711154976,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,6b2f4009b302135dd33fad7697a33f2f4057c979f560bcb0adc5e767f9430562,0.0,0.0,False,0.45555555555555555,0.17777777777777778,0.0,0.9111111111111111,False
