policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash,transport_progress,transport_progress_rate,premature_open,action_saturation_rate,ik_projection_rate,zero_pose_projection_rate,mean_ik_projection_scale,post_placement_reclose,first_bilateral_object,target_first_contact,target_bilateral_contact,stable_target_grasp,first_bilateral_target_substep,first_stable_target_substep,stable_target_substeps,longest_stable_target_run,wrong_object_interaction,dropped_target,strict_containment,receptacle_base_contact,receptacle_wall_contact,strict_placement,gripper_released,tcp_retreated,strict_task_success,containment_margin_x,containment_margin_y,rollout_device,mean_ensemble_size,gripper_switch_count
flat_seed_0,flat,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db,0.0,0.0,False,0.5444444444444444,0.6555555555555556,0.0,0.5027777777777778,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.12121899677587858,-0.28645716111664793,cpu,7.844444444444444,0
flat_seed_0,flat,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac,0.0,0.0,False,0.5444444444444444,0.6555555555555556,0.0,0.5027777777777778,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.25044959413367357,-0.035467211195735815,cpu,7.844444444444444,0
flat_seed_0,flat,0,none,heldout_recovery:2:373526269:0:wrong_way_transport,373526269,2,heldout_recovery,normal,False,True,True,False,True,False,False,False,3,dropped,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,58b39a726c35749554857b0a9b60744cb010a5689706c7cb39ee785b1e84949f,0.0,0.0,True,0.0,0.0,0.0,1.0,False,object_1,True,True,True,1,1,2,2,False,True,False,False,False,False,False,False,False,-0.16570328749266172,-0.15550350013701558,cpu,2.0,0
flat_seed_0,flat,0,none,heldout_recovery:3:1527517246:4:wrong_way_transport,1527517246,3,heldout_recovery,normal,False,True,True,False,True,False,False,False,3,dropped,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,c7aab10863a938aedd6aef2e7f80ddf15da4a3c482942de67c2c4a3afd2856d2,0.0,0.0,True,0.0,0.0,0.0,1.0,False,object_2,True,True,True,1,1,1,1,False,True,False,False,False,False,False,False,False,-0.21430262303297087,0.01618956719326581,cpu,2.0,0
graph_seed_0,graph,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db,0.0,0.0,False,0.15555555555555556,0.044444444444444446,0.0,0.975,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.12121899677587858,-0.28645716111664793,cpu,7.844444444444444,0
graph_seed_0,graph,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac,0.0,0.0,False,0.15555555555555556,0.044444444444444446,0.0,0.975,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.25044959413367357,-0.035467211195735815,cpu,7.844444444444444,0
graph_seed_0,graph,0,none,heldout_recovery:2:373526269:0:wrong_way_transport,373526269,2,heldout_recovery,normal,False,True,True,False,True,False,False,False,3,dropped,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,58b39a726c35749554857b0a9b60744cb010a5689706c7cb39ee785b1e84949f,0.0,0.0,True,0.0,0.0,0.0,1.0,False,object_1,True,True,True,1,1,2,2,False,True,False,False,False,False,False,False,False,-0.166783660552702,-0.15615025882962255,cpu,2.0,0
graph_seed_0,graph,0,none,heldout_recovery:3:1527517246:4:wrong_way_transport,1527517246,3,heldout_recovery,normal,False,True,True,False,True,False,False,False,3,dropped,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,c7aab10863a938aedd6aef2e7f80ddf15da4a3c482942de67c2c4a3afd2856d2,0.0,0.0,True,0.0,0.0,0.0,1.0,False,object_2,True,True,True,1,1,1,1,False,True,False,False,False,False,False,False,False,-0.2159263570521638,0.017307999471020567,cpu,2.0,0
