policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash,transport_progress,transport_progress_rate,premature_open,action_saturation_rate,ik_projection_rate,zero_pose_projection_rate,mean_ik_projection_scale,post_placement_reclose,first_bilateral_object,target_first_contact,target_bilateral_contact,stable_target_grasp,first_bilateral_target_substep,first_stable_target_substep,stable_target_substeps,longest_stable_target_run,wrong_object_interaction,dropped_target,strict_containment,receptacle_base_contact,receptacle_wall_contact,strict_placement,gripper_released,tcp_retreated,strict_task_success,containment_margin_x,containment_margin_y,rollout_device,mean_ensemble_size,gripper_switch_count
flat_seed_0,flat,0,none,crowded_ood:4:2956408373,2956408373,4,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,338e56118c058fd641819ac5965b8a4912ffe2fee6e2a2b57c254c21cc32e487,0.0,0.0,False,0.32222222222222224,0.26666666666666666,0.0,0.8333333333333334,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.11999446264312255,-0.10761162536581581,cpu,7.844444444444444,5
flat_seed_0,flat,0,none,crowded_ood:4:1546288831,1546288831,4,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,bcd9ef80f9d6d1772fe63555b086caf9054fe772f5b2df134f07529f793342de,0.0,0.0,False,0.3111111111111111,0.3055555555555556,0.0,0.7958333333333333,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.1746178601107561,-0.13929867133973514,cpu,7.844444444444444,5
flat_seed_0,flat,0,none,crowded_ood:4:1330887711,1330887711,4,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,69b0fe812510dba03b6ae856e36605af739c02cd919fbcc3e63352ddb4e7f5d8,0.0,0.0,False,0.35,0.2833333333333333,0.0,0.8243055555555555,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.21449478819221265,-0.03267914996080459,cpu,7.844444444444444,7
flat_seed_0,flat,0,none,crowded_ood:4:1400296105,1400296105,4,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,6c9386fee32b3112384e291904ac61072e9c2b074d6f934418a90f900c6f34ec,0.0,0.0,False,0.3111111111111111,0.3111111111111111,0.0,0.8166666666666667,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.05142712731186193,-0.1211060017331389,cpu,7.844444444444444,7
flat_seed_0,flat,0,none,crowded_ood:5:440647837,440647837,5,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,e4c5ec95baa6024fb1438fc81a655d84830edd1763b074e8f2534cb923df23e9,0.0,0.0,False,0.29444444444444445,0.16111111111111112,0.0,0.9055555555555556,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.08738461405310408,-0.052593155178798034,cpu,7.844444444444444,2
flat_seed_0,flat,0,none,crowded_ood:5:706795356,706795356,5,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,a9a29b128753b92f90185d00c5c7a545c9ce44480844e29b3065ec937c0106d4,0.0,0.0,False,0.2611111111111111,0.22777777777777777,0.022222222222222223,0.8548611111111111,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.04065275672078253,-0.11932996364327508,cpu,7.844444444444444,6
flat_seed_0,flat,0,none,crowded_ood:5:4272924380,4272924380,5,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,d37c56aea19737c2fb659be4b11296d79b3e54c59aafcb170f6f38ee49ecf9d0,0.0,0.0,False,0.35,0.3333333333333333,0.0,0.7930555555555555,False,,False,False,False,,,0,0,False,False,False,False,False,False,False,False,False,-0.22972998003007902,-0.16953979298853442,cpu,7.844444444444444,6
flat_seed_0,flat,0,none,crowded_ood:5:1480494405,1480494405,5,crowded_ood,crowded,False,False,False,True,False,False,False,False,33,wrong_object,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,876a67dec1695a09b8a38b5c8208af400a8b81436d13b1801f1f268a1f319c76,0.0,0.0,False,0.09090909090909091,0.0,0.0,1.0,False,object_1,False,False,False,,,0,0,True,False,False,False,False,False,False,False,False,-0.05084214042236482,-0.1742036692893795,cpu,7.151515151515151,1
flat_seed_0,flat,0,none,crowded_ood:5:4077794231,4077794231,5,crowded_ood,crowded,False,False,False,True,False,False,False,False,31,wrong_object,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,6d191a3acca1905fb3d4a2fee93236d3ab6ade0031b0a4736de2593b603e637e,0.0,0.0,False,0.0967741935483871,0.0,0.0,1.0,False,object_3,False,False,False,,,0,0,True,False,False,False,False,False,False,False,False,-0.20779047582597826,-0.005848348233150568,cpu,7.096774193548387,1
graph_seed_0,graph,0,none,count_ood:4:2726649518,2726649518,4,count_ood,normal,True,True,True,False,False,True,False,False,141,success,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,3745937b86228c5de848f60c93f3037d42b1f1ce5421b992acb495aa4b2ec49a,0.3735414110124111,0.9533757428346803,False,0.1347517730496454,0.0,0.0,1.0,False,object_0,True,True,True,1215,1328,2063,1588,False,False,True,True,False,True,True,True,True,0.02234240324749839,0.017543055150461496,cpu,7.801418439716312,2
