policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash,transport_progress,transport_progress_rate,premature_open,action_saturation_rate,ik_projection_rate,zero_pose_projection_rate,mean_ik_projection_scale,post_placement_reclose
flat_seed_0,flat,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db,0.0,0.0,False,0.8444444444444444,0.48333333333333334,0.2722222222222222,0.5847222222222223,False
flat_seed_0,flat,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac,0.0,0.0,False,0.8333333333333334,0.5111111111111111,0.24444444444444444,0.5618055555555556,False
graph_seed_0,graph,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db,0.0,0.0,False,0.95,0.016666666666666666,0.0,0.9916666666666667,False
graph_seed_0,graph,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,False,False,False,False,False,False,False,False,180,timeout,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac,0.0,0.0,False,0.95,0.016666666666666666,0.0,0.9916666666666667,False
